delay_s,run_id,tps_create,tps_change,tps_query_all,tps_query_one,tps_avg
80,5,62.300000,79.000000,1968.100000,2069.100000,1044.625000
80,6,85.800000,73.200000,1986.900000,2136.400000,1070.575000
80,7,105.300000,65.200000,1959.600000,2102.700000,1058.200000
80,8,79.000000,64.700000,1958.800000,2090.300000,1048.200000
80,9,86.700000,61.400000,1965.800000,2097.800000,1052.925000
80,10,81.800000,65.600000,1973.500000,2216.400000,1084.325000
90,1,81.500000,62.000000,1982.200000,2054.300000,1045.000000
90,2,77.900000,77.800000,1999.600000,2242.300000,1099.400000
90,3,84.000000,71.000000,1937.600000,1955.000000,1011.900000
90,4,92.300000,78.800000,1774.500000,2056.800000,1000.600000
90,5,104.200000,89.300000,1966.900000,2051.300000,1052.925000
90,6,82.700000,62.600000,1981.800000,2186.800000,1078.475000
90,7,92.300000,58.700000,1581.600000,1719.000000,862.900000
90,8,75.200000,64.800000,1809.600000,1947.000000,974.150000
90,9,80.000000,82.300000,1912.000000,2113.800000,1047.025000
90,10,80.100000,48.700000,1996.400000,2163.600000,1072.200000
